File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine
ATL_se0_ag1_m_04_1,686,ATL_int_01,930.7423,934.9223,4.18,Hold up now cause I- I done been to a couple your shows. I haven't been to all of 'em,1,1
ATL_se0_ag1_m_04_2,245,ATL_int_01,335.5831,338.732,3.1489,"I mean, nobody had done been, um, coming to you tryna push that",1,1
ATL_se0_ag1_m_05_1,237,ATL_se0_ag1_m_05,354.6723,358.4102,3.7379,"talent shows, and, um, I've actually done some things for the basketball team,",1,0
ATL_se0_ag1_m_05_1,659,ATL_int_01,1028.3039,1029.7061,1.4022,I done did a few folks,1,1
ATL_se0_ag1_m_05_1,1080,ATL_se0_ag1_m_05,1640.326,1643.3616,3.0356,"uh, you done went out let's say a night after that as well too,",1,1
ATL_se0_ag2_f_01_1,932,ATL_se0_ag2_f_01,1300.6843,1307.9252,7.2409,"cause you walking all the time, you gotta look fresh, you have to have your fresh sneaker on, your fresh outfit on. If you're a girl, your hair have to be done, your nails gotta be done.",2,0
ATL_se0_ag2_m_01_1,593,ATL_se0_ag2_m_01,766.4818,769.6417,3.1599,"It gets rogue because you done depressed yourself so much,",1,1
ATL_se0_ag2_m_02_1,2059,ATL_int_01,2344.8628,2345.7682,0.9054,"Nah, I'm done man.",1,0
ATL_se0_ag2_m_02_1,2088,ATL_int_01,2380.5215,2382.638,2.1165,you more than welcome. We pretty much done hit,1,1
ATL_se0_ag2_m_03_1,124,ATL_se0_ag2_m_03,147.3255,149.5105,2.185,"and the damage that was done to the levee,",1,0
ATL_se0_ag2_m_03_1,221,ATL_int_01,262.1497,264.047,1.8973,"you was done with, um, s-",1,0
ATL_se0_ag2_m_03_1,370,ATL_se0_ag2_m_03,447.8173,451.7859,3.9686,you feel me. It's- it's a lot of people that done got influenced from Atlanta cause Atlanta was like,1,1
ATL_se0_ag2_m_03_1,492,ATL_int_01,604.3692,608.3481,3.9789,the Migos kind of just really highlighting some shit we done already known.,1,1
ATL_se0_ag2_m_03_1,687,ATL_se0_ag2_m_03,877.0895,880.8481,3.7586,"that weed, I done- I done got a little edge on that shit, you know what I mean, unless I'm'a just blow it",2,1
ATL_se0_ag2_m_03_1,1514,ATL_se0_ag2_m_03,1906.3866,1910.9121,4.5255,"l- let me call your auntie. Nigga, you supposed to know this shit. Bitch, you done went to- to the- to the mother fucking",1,1
ATL_se0_ag2_m_03_1,1784,ATL_se0_ag2_m_03,2282.5681,2285.1203,2.5522,"I done hit the blunt, like I don't feel that shit right now.",1,1
ATL_se0_ag2_m_03_1,2007,ATL_se0_ag2_m_03,2561.3532,2563.2079,1.8547,"oh, this nigga done played me, bruh.",1,1
ATL_se0_ag2_m_03_1,2141,ATL_se0_ag2_m_03,2748.1853,2752.7328,4.5475,"The street grind is strong, you feel me, but it all depend on how your street grind is. Now I seen niggas done blew",1,1
ATL_se0_ag2_m_03_1,2142,ATL_se0_ag2_m_03,2753.1078,2756.6034,3.4956,"off of that street grind shit, you feel me. I done seen niggas like, you know what I mean,",1,1
ATL_se0_ag2_m_03_1,2190,ATL_se0_ag2_m_03,2828.1548,2833.7475,5.5927,"I done s- I done- I done s- I done seen- I done heard your shit on a couple of niggas' shit, and niggas really wasn't spitting shit.",5,1
DCA_se1_ag1_f_02_1,1073,DCA_se1_ag1_f_02,1129.5122,1130.5894,1.0772,"um, my teacher done-",1,0
DCA_se1_ag1_f_02_1,1274,DCA_se1_ag1_f_02,1388.5287,1389.7737,1.245,cause I done holler at her back.,1,1
DCA_se1_ag1_f_02_1,1323,DCA_se1_ag1_f_02,1460.2396,1465.2791,5.0395,You done did all the work like you said. I did this. I did this. She won't let you read your library books or nothing.,1,1
DCA_se1_ag1_f_02_1,1445,DCA_se1_ag1_f_02,1611.5313,1612.3146,0.7833,She done make us-,1,1
DCA_se1_ag1_f_05_1,755,DCA_int_03,974.3747,977.0855,2.7108,Well how you gonna get your work done if you don't study? ,1,0
DCA_se1_ag1_f_05_1,1046,DCA_int_03,1351.8557,1355.7218,3.8661,you could have done in the past that you'd like to change- that you could do all over again differently?,1,0
DCA_se1_ag1_m_03_1,983,DCA_se1_ag1_m_03,1020.9801,1023.8758,2.8957,"Cause they had done got the ruby, and they had done put it back.",2,2
DCA_se1_ag1_m_03_1,1203,DCA_se1_ag1_m_03,1224.9988,1226.6215,1.6227,they done done in with Linc.,2,1
DCA_se1_ag1_m_03_1,1887,DCA_se1_ag1_m_03,1928.2624,1929.9644,1.702,"The sneakiest one I ever done,",1,0
DCA_se1_ag1_m_05_1,1012,DCA_se1_ag1_m_05,1588.4062,1590.5958,2.1896,did things that they shouldn't have done,1,0
DCA_se1_ag1_m_07_1,611,DCA_se1_ag1_m_07,811.767,815.7784,4.0114,"Cause you know, they made you get your work done, so you had to learn something when you leave there.",1,0
DCA_se1_ag2_m_01_1,579,DCA_se1_ag2_m_01,745.2891,747.1343,1.8452,"So what he done, he took the Ugly,",1,0
DCA_se1_ag3_f_01_1,1426,DCA_int_03,1822.0952,1824.9956,2.9004,would rather have done over again if you had the chance?,1,0
DCA_se1_ag3_f_01_1,1430,DCA_int_03,1828.6548,1829.8205,1.1657,you wish you had done.,1,0
DCA_se1_ag4_m_01_1,14,DCA_se1_ag4_m_01,19.5696,24.1672,4.5976,"One other game we played, I done forgot the name of it now. Uh..",1,1
DCA_se1_ag4_m_01_1,59,DCA_se1_ag4_m_01,94.2277,96.4049,2.1772,you done automatically won your points then.,1,1
DCA_se1_ag4_m_01_1,105,DCA_se1_ag4_m_01,179.8233,182.1523,2.329,"this crime story, but I done forgot the name of it!",1,1
DCA_se1_ag4_m_01_1,251,DCA_se1_ag4_m_01,407.3017,408.999,1.6973,"I done forgot the name of it, uh-",1,1
DCA_se1_ag4_m_02_1,1729,DCA_se1_ag4_m_02,2123.7649,2126.6289,2.864,"all my friends, my family, or whatever I've said or done",1,0
DCA_se2_ag1_f_04_1,887,DCA_se2_ag1_f_04,1240.6435,1245.7332,5.0897,"cause I think about all the year, all the things that I have done that's bad and good.",1,0
DCA_se2_ag1_f_05_1,466,DCA_se2_ag1_f_05,553.4887,559.2271,5.7384,"And I did something I shouldn't have done, and  he said he was gonna bust me on my lip, but then he changed his mind.",1,0
DCA_se2_ag1_f_07_1,316,DCA_se2_ag1_f_07,429.1759,430.1785,1.0026,"said had done it,",1,0
DCA_se2_ag1_f_07_1,951,DCA_se2_ag1_f_07,1214.4252,1223.2975,8.8723,"He know- He was- He- He knew- Well he had us for three years- He- knew we were bad and everything. And he realized- He- he knew we had done- You know, we had done that. He- he just kept us there. He was mad,",2,0
DCA_se2_ag1_f_07_1,960,DCA_se2_ag1_f_07,1233.6469,1240.2717,6.6248,"you know, individuals. He knew probably all us had done it cause all us had been together for three years, but he didn't take no, you know",1,0
DCA_se2_ag2_m_02_1,1635,DCA_se2_ag2_m_02,1925.3988,1927.25,1.8512,"don't interest me because I already done 'em, you know,",1,0
DCA_se2_ag2_m_02_1,2094,DCA_se2_ag2_m_02,2463.9173,2465.097,1.1797,"things that he never done before,",1,0
DCA_se2_ag2_m_03_1,713,DCA_se2_ag2_m_03,900.7712,901.2922,0.521,done for.,1,0
DCA_se2_ag2_m_03_1,2039,DCA_se2_ag2_m_03,2287.5894,2288.8144,1.225,what he had done and all th-,1,0
DCA_se2_ag2_m_03_1,2141,DCA_se2_ag2_m_03,2388.6266,2389.565,0.9384,would have done would-,1,0
DCA_se2_ag3_m_01_1,1497,DCA_se2_ag3_m_01,1536.3932,1541.974,5.5808,"from the lathe, slammed it in the floor, told me, that's wrong! And I don't want it done like that no more, you know.",1,0
DCA_se2_ag3_m_01_1,2578,DCA_se2_ag3_m_01,2724.9954,2730.399,5.4036,"you know, you don't have enough money to pay for it. You done order all this food up, you know, and you don't have enough money to pay for it.",1,1
DCA_se2_ag3_m_02_1,582,DCA_se2_ag3_m_02,686.3159,687.9246,1.6087,"whatever his name was, I done forgot his name.",1,1
DCA_se2_ag3_m_02_1,1109,DCA_se2_ag3_m_02,1322.6565,1324.7455,2.089,"where they would read it but they wouldn't know who done it, like",1,0
DCA_se2_ag3_m_03_1,1042,DCA_se2_ag3_m_03,1063.8726,1064.9851,1.1125,"something the child had done,",1,0
DCA_se3_ag1_f_03_1,366,DCA_se3_ag1_f_03,426.2971,426.6048,0.3077,done.,1,0
DCA_se3_ag1_f_03_1,371,DCA_se3_ag1_f_03,428.3907,430.5636,2.1729,"and if I- after I got my homework done,",1,0
DCA_se3_ag1_f_04_1,720,DCA_se3_ag1_f_04,781.5161,783.2441,1.728,She done holler at me all the time.,1,1
DCA_se3_ag1_m_02_1,451,DCA_se3_ag1_m_02,526.1232,527.2016,1.0784,"I've done my best,",1,0
DCA_se3_ag1_m_02_1,2033,DCA_se3_ag1_m_02,2216.6827,2217.8465,1.1638,I've done some- I've,1,0
DCA_se3_ag1_m_02_1,2035,DCA_se3_ag1_m_02,2218.6566,2220.2911,1.6345,done some advertise- I've uh,1,0
DCA_se3_ag1_m_02_1,2546,DCA_se3_ag1_m_02,2711.2359,2714.7042,3.4683,They've done as much as they can. The- Meaning the white man- They've done as much as they can.,2,0
DCA_se3_ag1_m_02_2,174,DCA_se3_ag1_m_02,172.6847,174.1546,1.4699,"what their ancestors have done,",1,0
DCA_se3_ag1_m_03_1,368,DCA_se3_ag1_m_03,421.6089,424.2316,2.6227,"about uh, what somebody say had done to him, he could think about",1,0
DCA_se3_ag1_m_03_1,944,DCA_se3_ag1_m_03,1127.1428,1131.2324,4.0896,"have to stand there, look at the whole problem for about five minutes before she can figure out what she's done wrong.",1,0
DCA_se3_ag1_m_04_1,72,DCA_se3_ag1_m_04,59.5786,62.7459,3.1673,most of- most of our playing was done in the alley behind our houses.,1,0
DCA_se3_ag1_m_04_1,2864,DCA_se3_ag1_m_04,2262.7202,2265.7492,3.029,there was no real damage done to the car I think his steering was,1,0
DCA_se3_ag1_m_05_1,1045,DCA_se3_ag1_m_05,1177.7947,1180.4013,2.6066,Then after you know I'd done my little bit for everybody ,1,0
DCA_se3_ag2_f_02_1,1006,DCA_se3_ag2_f_02,1536.5293,1537.6202,1.0909,that can be done,1,0
DCA_se3_ag2_f_03_1,1274,DCA_int_03,1503.352,1506.1929,2.8409,Is there anything that you feel that you would have done over again?,1,0
DCA_se3_ag2_f_03_1,1276,DCA_int_03,1507.1853,1508.3331,1.1478,That you wouldn't have done?,1,0
DCA_se3_ag2_f_03_1,1277,DCA_se3_ag2_f_03,1509.5287,1511.958,2.4293,"I can tell you something I would not have done,",1,0
DCA_se3_ag2_m_02_1,652,DCA_se3_ag2_m_02,796.39,798.1908,1.8008,I think that he could have done it another way.,1,0
DCA_se3_ag2_m_03_1,625,DCA_se3_ag2_m_03,783.659,786.4263,2.7673,mainly these things are done individually yeah.,1,0
DCA_se3_ag3_f_01_1,792,DCA_se3_ag3_f_01,1209.1749,1211.4624,2.2875,is done through correspondence.,1,0
DCA_se3_ag3_f_01_1,796,DCA_se3_ag3_f_01,1213.1925,1217.3605,4.168,and there are quite a few things to be done with these registrations,1,0
DCA_se3_ag3_f_01_1,810,DCA_se3_ag3_f_01,1237.0464,1240.0219,2.9755,quite a few things to be done. It's quite interesting work.,1,0
DCA_se3_ag3_m_01_1,1209,DCA_se3_ag3_m_01,1769.2965,1774.0012,4.7047,myself in a little different way. I might have done little more than he did. ,1,0
DCA_se3_ag3_m_03_1,509,DCA_se3_ag3_m_03,705.3386,709.3653,4.0267,"looking at this, not having done anything about it,  you know.",1,0
DCA_se3_ag3_m_03_1,517,DCA_se3_ag3_m_03,716.9458,719.3172,2.3714,know what it is that I haven't done today.,1,0
DCA_se3_ag4_m_01_1,1606,DCA_se3_ag4_m_01,2106.9695,2112.3258,5.3563,So it hasn't- what have to be done about it? Nothing. And the Look magazine has a ver- very good article in there I think on that.,1,0
DCA_se3_ag4_m_01_1,1985,DCA_se3_ag4_m_01,2636.7788,2638.1496,1.3708,"However, some fellas have done it,",1,0
DCA_se3_ag4_m_01_1,1989,DCA_se3_ag4_m_01,2641.4615,2643.1052,1.6437,I don't know that I could have done it because,1,0
DCA_se3_ag4_m_01_1,1995,DCA_se3_ag4_m_01,2647.3535,2648.6016,1.2481,done that very well.,1,0
DCA_se3_ag4_m_01_2,324,DCA_se3_ag4_m_01,417.1493,419.2145,2.0652,even s- a lot of us- being done,1,0
DCB_se1_ag1_f_01_1,307,DCB_se1_ag1_f_01,384.202,388.8302,4.6282,"Yeah, different organization- And we do interviews. We had to get- get the interviews done. We had to call 'em.",1,0
DCB_se1_ag1_f_01_1,1094,DCB_int_01,1324.7892,1327.0076,2.2184,"So it seems like you've done a lot of work with kids,",1,0
DCB_se1_ag1_f_02_1,486,DCB_se1_ag1_m_05,647.3986,648.6933,1.2947,Get all my work done.,1,0
DCB_se1_ag1_f_02_1,556,DCB_se1_ag3_m_01,737.8734,739.8302,1.9568,be done to make school safer for,1,0
DCB_se1_ag1_f_02_1,632,DCB_se1_ag1_m_04,848.2871,853.1127,4.8256,"g- getting your work done, getting your grades done, doing an- any- any and everything",2,0
DCB_se1_ag1_f_02_1,1005,DCB_se1_ag1_f_02,1338.5169,1340.475,1.9581,if you got- just got something done,1,0
DCB_se1_ag1_f_02_1,1035,DCB_se1_ag1_f_02,1368.0392,1372.3246,4.2854,Yeah like they just got they eyebrows done like my eyebrows on fleek.,1,0
DCB_se1_ag1_f_03_1,519,DCB_int_01,713.3519,714.9032,1.5513,"Okay, Miss RD-NAME-2 need her hair done.",1,0
DCB_se1_ag1_f_03_1,1711,DCB_se1_ag1_f_03,2286.4214,2288.4709,2.0495,"I fel- I was just like, RD-NAME-1, I'm really done.",1,0
DCB_se1_ag1_f_03_1,1713,DCB_se1_ag1_f_03,2288.7844,2290.2946,1.5102,"I'm really done, I'm really done, like.",2,0
DCB_se1_ag1_f_03_1,1766,DCB_se1_ag1_f_03,2346.0062,2346.3904,0.3842,I'm done.,1,0
DCB_se1_ag1_f_03_1,1770,DCB_se1_ag1_f_03,2349.3636,2349.7512,0.3876,I'm done.,1,0
DCB_se1_ag1_f_03_1,1776,DCB_se1_ag1_f_03,2358.8008,2361.7267,2.9259,"And you took it for granted, so therefore we're done, I'm not talking to you. Like,",1,0
DCB_se1_ag1_f_03_1,2146,DCB_int_01,2856.827,2859.362,2.535,"Um, we're almost done. We- sorry we got distracted.",1,0
DCB_se1_ag1_m_03_1,1894,DCB_se1_ag1_m_03,1805.2518,1810.17,4.9182,"my friends like, we just be laughing. Like we have a ball in every class, and then like, we still get our work done. Like,",1,0
DCB_se1_ag1_m_03_1,2621,DCB_se1_ag1_m_03,2451.3369,2453.3909,2.054,it's some fakes out there that haven't even done nothing.,1,0
DCB_se1_ag2_f_02_1,769,DCB_se1_ag2_f_02,1154.0695,1159.9135,5.844,"So it's like, I won't be working this summer, I won't be in school, and it's just like, I haven't done that in so long like, what am I gonna be doing?",1,0
DCB_se1_ag2_f_02_1,1574,DCB_se2_ag2_f_01,2321.2795,2323.4542,2.1747,"I'm just terrified, I'm just done, like- ",1,0
DCB_se1_ag2_f_02_1,1750,DCB_int_01,2567.1505,2572.4364,5.2859,"What's something that you wanna do like that's a- that you haven't done that you think, oh I've gotta do that before I-",1,0
DCB_se1_ag2_f_02_1,2158,DCB_se1_ag2_f_02,3149.8151,3151.5991,1.784,"Like people done got killed at go gos,",1,1
DCB_se1_ag2_f_02_1,2319,DCB_se1_ag2_f_02,3395.0722,3396.6651,1.5929,"Oh, I never done that either.",1,0
DCB_se1_ag2_f_02_1,2330,DCB_int_01,3412.215,3417.2364,5.0214,"I did that one before, I've done the one- the little duck boat where you g- where it goes down Potomac.",1,0
DCB_se1_ag2_f_02_1,2332,DCB_int_01,3417.7114,3422.2605,4.5491,"Um, I've done the night- the night one is the best, I think that's the prettiest one.",1,0
DCB_se1_ag2_f_02_1,2334,DCB_int_01,3422.5757,3425.8258,3.2501,"Um, I haven't done the dinner cruise but I've done the lunch cruise,",2,0
DCB_se1_ag2_f_03_1,2100,DCB_int_01,2889.391,2893.0158,3.6248,"witnessed the change? Well, I guess in your lifetime they've done a lot of changing.",1,0
DCB_se1_ag2_m_01_1,258,DCB_se1_ag2_m_01,385.6074,386.8599,1.2525,she done got honor roll since,1,1
DCB_se1_ag2_m_01_1,433,DCB_int_01,618.4536,622.443,3.9894,"what has been- okay, in your eyes what has been the most romantic thing that you've done for her?",1,0
DCB_se1_ag2_m_01_1,434,DCB_se1_ag2_m_01,623.4429,625.8345,2.3916,The rost romantic thing that I've done for her?,1,0
DCB_se1_ag2_m_01_1,442,DCB_se1_ag2_m_01,636.2518,638.4675,2.2157,I don't- I done did a couple of romantic things.,1,1
DCB_se1_ag2_m_01_1,448,DCB_se1_ag2_m_01,647.523,648.7585,1.2355,See well I can't- she done did that.,1,1
DCB_se1_ag2_m_01_1,469,DCB_int_01,680.2729,682.5729,2.3,"Mm-hm, what's the most romantic thing she's done for you?",1,0
DCB_se1_ag2_m_01_1,1294,DCB_int_01,1767.3373,1768.6813,1.344,Nobody else has done that in his-,1,0
DCB_se1_ag2_m_01_1,2033,DCB_se1_ag2_m_01,2743.4839,2745.3639,1.88,"I been- I been this, I've done this.",1,0
DCB_se1_ag2_m_01_1,2741,DCB_se1_ag2_m_01,3743.4447,3749.9417,6.497,"you understand that this shit this woman done did for me like she did so much shit for me like and I just grow to appreciate it, you know what I'm saying. Like at first,",1,1
DCB_se1_ag2_m_01_1,3039,DCB_se1_ag2_m_01,4144.7412,4147.9359,3.1947,Every time I get around you I'm thinking about how you done hung my ancestors.,1,1
DCB_se1_ag2_m_01_1,3126,DCB_se1_ag2_m_01,4265.6561,4269.7708,4.1147,"You done bust out with something exclusive, you got a brand new ass blue shirt on now.",1,1
DCB_se1_ag2_m_02_1,180,DCB_se1_ag2_m_02,222.1131,223.7922,1.6791,"like I done seen it in myself,",1,1
DCB_se1_ag2_m_02_2,367,DCB_se1_ag2_m_02,515.5117,517.0977,1.586,confused they done had us,1,1
DCB_se1_ag2_m_03_1,165,DCB_se1_ag2_m_03,247.8627,250.7054,2.8427,"equipment, you know, to get the, you know, big jobs done, but",1,0
DCB_se1_ag2_m_03_1,179,DCB_se1_ag2_m_03,268.7822,269.98,1.1978,"You know, I'm'a get the job done.",1,0
DCB_se1_ag2_m_03_1,314,DCB_se1_ag2_m_03,489.7512,495.3675,5.6163,"what the situation is or what needs to be done, it's no- You know, family's first and, you know, just gotta get the job done and,",2,0
DCB_se1_ag3_f_01_1,912,DCB_se1_ag3_f_01,1243.1823,1243.563,0.3807,done-,1,0
DCB_se1_ag3_f_01_1,1920,DCB_se1_ag3_f_01,2560.1621,2561.8641,1.702,It's things that you should have done better.,1,0
DCB_se1_ag3_f_01_1,1976,DCB_int_01,2629.1985,2632.4999,3.3014,I mean- I mean we're almost done. Can- Thank you. Thank you. It's not your turn.,1,0
DCB_se1_ag3_f_01_1,2311,DCB_int_01,3031.9586,3032.4761,0.5175,You're done?,1,0
DCB_se1_ag3_f_01_1,2327,DCB_se1_ag3_f_01,3053.2587,3056.9005,3.6418,"Well next time, you're gonna have to have a cerclage done. I said, there will be no next time.",1,0
DCB_se1_ag3_f_02_2,438,DCB_se1_ag3_f_02,587.168,588.7496,1.5816,Trying to get them book works done.,1,0
DCB_se1_ag3_m_01_1,1701,DCB_int_01,2349.2959,2350.5865,1.2906,or something they've done,1,0
DCB_se1_ag3_m_01_1,1711,DCB_int_01,2363.7594,2365.374,1.6146,"What's something they've done towards you, like",1,0
DCB_se1_ag3_m_02_1,232,DCB_se1_ag3_m_02,289.6276,293.4626,3.835,"I would s- for me, for my age and what I done picked up off it,",1,1
DCB_se1_ag3_m_02_1,386,DCB_se1_ag3_m_02,537.9699,540.1189,2.149,"I done lived in DC probably about,",1,1
DCB_se1_ag3_m_02_1,727,DCB_se1_ag3_m_01,1019.4675,1021.2102,1.7427,done when you were younger that you've carried,1,0
DCB_se1_ag3_m_02_2,231,DCB_se1_ag3_m_02,355.9918,357.1363,1.1445,I done been-,1,0
DCB_se1_ag3_m_02_2,232,DCB_se1_ag3_m_02,357.4537,358.9784,1.5247,I done been to every,1,1
DCB_se1_ag3_m_02_2,234,DCB_se1_ag3_m_02,359.3626,363.3372,3.9746,game that I like I done been to one except DC United game.,1,1
DCB_se1_ag3_m_02_2,254,DCB_se1_ag3_m_01,390.6116,391.9862,1.3746,have y'all done like-,1,0
DCB_se1_ag3_m_03_1,1107,DCB_se1_ag3_m_03,1947.8912,1951.6023,3.7111,"thought about getting a couple trades or whatever, but just haven't done that yet.",1,0
DCB_se1_ag3_m_03_1,1288,DCB_se1_ag3_m_03,2225.6663,2228.9069,3.2406,So anybody who- who's done that is an inspiration to me.,1,0
DCB_se1_ag3_m_03_1,1345,DCB_se1_ag3_m_01,2316.9216,2320.3059,3.3843,"But then when you start doing research, you find out, ain't done near nothing,",1,0
DCB_se1_ag3_m_03_1,1348,DCB_se1_ag3_m_03,2320.8555,2324.7601,3.9046,Yeah they ain't done shit but took every motherfucking thing and put they name on the shit.,1,0
DCB_se1_ag3_m_03_1,1469,DCB_se1_ag3_m_03,2525.0347,2526.1099,1.0752,"I just haven't done it yet,",1,0
DCB_se1_ag3_m_03_1,1872,DCB_se1_ag3_m_03,3150.5316,3157.0488,6.5172,"Donald Trump not our President, rioting and shit. What the fuck are you rioting for? He haven't even done anything",1,0
DCB_se1_ag4_f_01_1,50,DCB_se1_ag4_f_01,39.3426,41.9198,2.5772,They done tore it down but the building is still there.,1,1
DCB_se1_ag4_f_01_2,1000,DCB_se1_ag4_f_01,1157.0973,1161.6499,4.5526,"So y- it's not like you can't tell me nothing but if I'm telling you something that I done been through,",1,1
DCB_se1_ag4_f_01_2,1407,DCB_se1_ag4_f_01,1628.1107,1629.1267,1.016,it done got worse.,1,1
DCB_se1_ag4_f_01_2,1488,DCB_se1_ag4_f_01,1721.6557,1724.9332,3.2775,"Sometime I go- Yeah I done been to the capital I mean,",1,1
DCB_se1_ag4_m_01_1,3072,DCB_se1_ag4_m_01,3555.3065,3559.6463,4.3398,"Next three years, twenty-five hundred dollars you know, they- they done haven't taken advantage of that you know, so.",1,1
DCB_se1_ag4_m_01_1,3349,DCB_se1_ag4_m_01,3864.9532,3866.8299,1.8767,"you know, and he's not done with me. A lot of people say,",1,0
DCB_se1_ag4_m_02_1,409,DCB_se1_ag4_m_02,589.6227,592.5363,2.9136,But they taking pistols. They done- they done- they done changed that whole crime.,3,1
DCB_se1_ag4_m_02_1,1215,DCB_se1_ag4_m_02,1627.0847,1630.8587,3.774,"and RD-SCHOOL-2- uh, tried to get on RD-SCHOOL-2 team, but they done told me I couldn't play for both.",1,1
DCB_se1_ag4_m_02_1,1606,DCB_se1_ag3_m_01,2155.283,2156.274,0.991,You done put in your work.,1,1
DCB_se1_ag4_m_02_1,1770,DCB_se1_ag4_m_02,2366.2428,2371.6865,5.4437,"I'm just- I'm determined- yeah I'm determined- I'm determined to make it. It- you know, I done made it- I made it this far, you know, that's what I'm saying.",1,1
DCB_se1_ag4_m_02_1,1773,DCB_se1_ag4_m_02,2372.1685,2373.4391,1.2706,I done made it to sixty seven.,1,1
DCB_se1_ag4_m_02_1,1847,DCB_se1_ag4_m_02,2455.3153,2458.4885,3.1732,"Shit, so I done said- , I walked- no matter where to we have.",1,1
DCB_se2_ag1_f_01_1,843,DCB_int_01,866.4536,870.8153,4.3617,"Gotcha. Okay, so now let's go up to middle school cause we done with-",1,0
DCB_se2_ag1_f_01_1,1525,DCB_int_01,1688.1761,1689.3877,1.2116,That was it? You were done.,1,0
DCB_se2_ag1_f_01_1,1528,DCB_se2_ag1_f_01,1689.2731,1690.3922,1.1191," Yeah, I was done.",1,0
DCB_se2_ag1_f_01_1,1830,DCB_se2_ag1_f_01,2054.9415,2057.2532,2.3117,I was getting d- after I got my hair done.,1,0
DCB_se2_ag1_f_01_1,1832,DCB_se2_ag1_f_01,2057.3884,2058.7686,1.3802,"I went to go get my hair done,",1,0
DCB_se2_ag1_f_01_1,1849,DCB_se2_ag1_f_01,2075.9573,2079.1933,3.236,"If I woulda never got my hair done, we probably woulda never moved over there.",1,0
DCB_se2_ag1_f_01_1,2322,DCB_int_01,2633.6986,2635.7445,2.0459,So have you done your ACTs or SATs?,1,0
DCB_se2_ag1_f_01_1,2617,DCB_int_01,2987.0555,2988.4497,1.3942,"But you did go get your hair done, so.",1,0
DCB_se2_ag1_m_01_1,1100,DCB_se2_ag1_m_01,1334.2385,1337.4517,3.2132,"The resources that we have here, like the computers to get homework done is",1,0
DCB_se2_ag1_m_01_1,1600,DCB_se2_ag1_m_01,1883.4316,1884.6289,1.1973,haven't done a backflip in like,1,0
DCB_se2_ag1_m_01_1,2305,DCB_se2_ag1_m_01,2651.9466,2652.9741,1.0275,"We haven't done that yet,",1,0
DCB_se2_ag1_m_01_1,2638,DCB_se2_ag1_m_01,3038.6232,3041.1237,2.5005,he's done battle rap but he's not a battle rapper.,1,0
DCB_se2_ag2_f_01_1,1393,DCB_int_01,2014.5494,2017.9242,3.3748,"do you feel like you too loc- Like, why haven't you done the monuments?",1,0
DCB_se2_ag2_f_01_1,1395,DCB_int_01,2019.048,2022.9823,3.9343,"And not to say- I mean, cause some- Like there are things in my hometown that I haven't done.",1,0
DCB_se2_ag2_f_02_1,2692,DCB_se2_ag2_f_02,2826.7582,2830.2682,3.51,"I could see myself moving back to Southeast if- We know, once they're done cause",1,0
DCB_se2_ag2_f_02_1,2824,DCB_se2_ag2_f_02,2998.6187,2999.1456,0.5269,they're done.,1,0
DCB_se2_ag2_f_02_1,2828,DCB_se2_ag2_f_02,3003.7048,3008.917,5.2122,"things that I never knew. Like I- Literally seeing so many black people that have done so many positive things for their lives,",1,0
